"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"2321831","3d6782a1f42244046ab8b181bd9ec37bb1afcd570561cd4cfd64ba55ecc679ffa6e60e589d55a128a5df21d252200e097ab1f8dc859a56e93945443329aef2dc","2026-06-07T21:32:00.000","1","DRIVER",,"2214473",,"VOLKSWAGEN","PASSAT","IL","2015","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","Y",,"1",,"CITY OF CHICAGO","103/DOTY",,,,,,,,"Y","Y","Y",,,,"Y","REAR-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321832","3d6782a1f42244046ab8b181bd9ec37bb1afcd570561cd4cfd64ba55ecc679ffa6e60e589d55a128a5df21d252200e097ab1f8dc859a56e93945443329aef2dc","2026-06-07T21:32:00.000","2","DRIVER",,"2214474",,"MERCEDES-BENZ","CLS","IL","2015","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,"Y","Y","Y","Y","FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321721","aab2d16a6991f6221d68ef5fd79fa11e2e9af34870f97f9953c806d6cf0c1a9c70dd84fe0cac609c7f6afc0589831546295a07b50f61bfad3ddc168e223fa183","2026-06-07T21:32:00.000","1","DRIVER","2","2214362",,"HONDA","ODYSSEY","IL","2024","NONE","VAN/MINI-VAN","PERSONAL","N","STRAIGHT AHEAD",,,"3",,,,"Y",,,,,,,,,,,,,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321722","aab2d16a6991f6221d68ef5fd79fa11e2e9af34870f97f9953c806d6cf0c1a9c70dd84fe0cac609c7f6afc0589831546295a07b50f61bfad3ddc168e223fa183","2026-06-07T21:32:00.000","2","PEDESTRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321740","b99eb33de60736061fe83ca4ba584b15a9e7565c2646c5785ab9a9dc8d43f91c63e586b7409c650c59a0b1079d8773f9ed2f39efab81f49e1c170e687d600165","2026-06-07T21:30:00.000","1","DRIVER",,"2214372",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","IL",,"UNKNOWN","PASSENGER","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,"Y","Y","Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321741","b99eb33de60736061fe83ca4ba584b15a9e7565c2646c5785ab9a9dc8d43f91c63e586b7409c650c59a0b1079d8773f9ed2f39efab81f49e1c170e687d600165","2026-06-07T21:30:00.000","2","DRIVER",,"2214376",,"TESLA","MODEL 3","IL","2026","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,"Y","Y","Y","Y","Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322466","3ce22b1fabec0c94a917a46ac9f66817a7dfb5c5d769e20944a083b3b44c0b0b0f6fd9bf326c7c43a6f3815a9729696002096798289069cd090c1b594017b4ca","2026-06-07T21:20:00.000","1","DRIVER",,"2215074",,"FORD","FUSION","IL","2019","NONE","PASSENGER","PERSONAL","W","PASSING/OVERTAKING",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322467","3ce22b1fabec0c94a917a46ac9f66817a7dfb5c5d769e20944a083b3b44c0b0b0f6fd9bf326c7c43a6f3815a9729696002096798289069cd090c1b594017b4ca","2026-06-07T21:20:00.000","2","PARKED",,"2215067",,"CHRYSLER","300","IL","2007","NONE","PASSENGER","PERSONAL","W","PARKED",,,"0",,,,,,,,,,,,,"Y","Y","Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321747","055647aa336c1d27234b3932897a09e0984fcac7ff28019f4d4d9b730438d5cf3be29e4c2046b1c3e635fed5ae2a9a70795484e58c6f7ec32beecf88776e4b2f","2026-06-07T21:10:00.000","1","DRIVER",,"2214388",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321748","055647aa336c1d27234b3932897a09e0984fcac7ff28019f4d4d9b730438d5cf3be29e4c2046b1c3e635fed5ae2a9a70795484e58c6f7ec32beecf88776e4b2f","2026-06-07T21:10:00.000","2","PARKED",,"2214390",,"NISSAN","ALTIMA","IL","2017","UNKNOWN","PASSENGER","NOT IN USE","E","PARKED","N",,"0",,,,,,,,,,,"Y","Y","N","N","N",,"Y","REAR-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
