crash_record_id,weather_condition,lighting_condition,roadway_surface_cond,prim_contributory_cause,total_vehicles,avg_driver_age,total_people,total_injured
00037723efcde3b8f768e68c59de9fbfc30d83f9434142fe7cf8ed808e0e313b466301494fbc53f1398801be3028dcbcd8f193f1172355f4f45d1d3310e5ea59,CLEAR,DAYLIGHT,DRY,IMPROPER BACKING,2.0,35.5,2.0,2.0
000384274e4e79921de753283007dfbe114bfa44d361e52bb648ecac4dfd9bb78858db4994a772c907d61f6688b23412f4af1ccfd5d12f3b37d5299fafee86fa,CLEAR,DAYLIGHT,DRY,IMPROPER BACKING,2.0,41.0,4.0,4.0
000394a53948b3f13ec6120a8aa6b776a995b81920f0c4b2e6056f151f23187d128a9c38552b71c092171fc881d52791e4740939e1de31cf4329218382aa132f,CLEAR,DAYLIGHT,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,32.0,3.0,3.0
0003a227a597d3387c27130505cc7bd2116c8ec7729cd9716c048518fe427d4050242a0c4c41c9ec6669ff8f212e59afada4f1f2f9880ad587ff578f30070410,CLEAR,DAYLIGHT,DRY,EQUIPMENT - VEHICLE CONDITION,2.0,53.0,2.0,2.0
0003bfc60f838941aa88b55647b33fcb1ce0f13c43ce1e11f1d9394a522648e9509f4260238b38f7da160f3df2070bb3eec56b2fd4c5696041a30cdc6de90c26,CLEAR,DAYLIGHT,DRY,IMPROPER OVERTAKING/PASSING,2.0,74.33333333333333,3.0,3.0
0003c1a997e592702dd785c73a09534964307674461565a15e6d0bafa4e8caa65e1f169536112be41fcb8efc765e4343dc3440cf050628ea2235cf17b413e4be,CLEAR,DAYLIGHT,DRY,IMPROPER BACKING,2.0,27.0,2.0,2.0
0003e543c7a93b8da71010296510ea976b613afbbfd1e91a0a89b7b1a5cf1017a552d9e41d83ce1a7458cdd4862bb9356dc6eebf29a0cf20e5c596925bcf7182,CLEAR,DAYLIGHT,DRY,DISREGARDING TRAFFIC SIGNALS,2.0,41.333333333333336,3.0,3.0
000457f2037a4973fcbc93a6b8cab9d90edebdfbda1faa471270816d80b3a12bd0568da5e84c2ad35eddc0ecf3d18f973efe51c8dd42597b98f6fca1f3374f55,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,IMPROPER LANE USAGE,2.0,42.0,2.0,2.0
00047d29680562204574c31b5c2f397afe5c307d433964784b1ecd6a5fcaaa5abdc8d6e2f13e8c4f2aeb6ad65cfb4ccea1747a92dd4525e63de8c4bfbbc52470,CLEAR,UNKNOWN,DRY,FAILING TO REDUCE SPEED TO AVOID CRASH,2.0,37.5,2.0,1.0
00047e2b1dd688403ecdc950ed68c138c7777d2d635b11c82f370ff2d10fab7b3535f168fc842db2f482022b47b7433797f0e130be764439789a4d7edd12c9b8,CLEAR,"DARKNESS, LIGHTED ROAD",WET,FOLLOWING TOO CLOSELY,2.0,27.0,4.0,4.0
00048d5515f40f23ef99d4ceba2beada49910c322dc0573314c08ec7841b900199d3ab7372cb43ecfd4e3e5c6de6f194394ed5bca6364cefdf0bc069711bfa35,CLEAR,DAYLIGHT,DRY,FAILING TO REDUCE SPEED TO AVOID CRASH,2.0,37.5,1.0,1.0
